Variable_1,Variable_2,FDR,Copies
X48P.CcdB,pcoR,0.00105327567630681,57
X105P.RES,pcoR,0.00160869221263308,26
X4P.ParE_toxin,mrkJ,7.42000053903655e-05,153
X7P.ParE_toxin.ParE.like_toxin,mrkJ,0.00287047068728032,235
X9P.RelE,mrkJ,0.000629227518793458,238
X32P.HD,mrkJ,0.000260529799329181,208
X36P.RelE,mrkJ,0.000250375447984999,243
X19P.RelE,mrkJ2,1.96756477370441e-15,25
X22P.PemK_toxin,mrkJ2,1.58645072799986e-09,45
X45P.HicA_toxin,mrkJ2,2.35239126281651e-07,8
X58P.CcdB,mrkJ2,0.00024543558911084,126
X63P.Zeta_toxin,mrkJ2,9.77291369728704e-10,10
X65P.HD,mrkJ2,8.50470213591263e-21,18
X70P.Gp49,mrkJ2,9.89607201737911e-16,40
X77P.Gp49,mrkJ2,4.21528768283927e-14,39
X168P.Fic,mrkJ2,2.35239126281651e-07,8
X1P.ParE_toxin,mrkI,5.79060455986423e-08,229
X3P.Fic,mrkI,7.11200104727943e-08,240
X4P.ParE_toxin,mrkI,3.6058707110331e-05,153
X5P.PIN,mrkI,7.57732568689374e-13,236
X9P.RelE,mrkI,0.000104972276557206,238
X62P.AntA.Bro.N,mrkI,0.00317659508768066,36
X70P.Gp49,mrkI2,2.45954564858471e-09,40
X77P.Gp49,mrkI2,1.6123468197922e-09,39
X98P.GNAT_acetyltran,mrkI2,0.00176011162308734,4
X124P.Fic,mrkI2,0.00734734758218473,5
X19P.RelE,mrkI3,2.18229996544967e-10,25
X22P.PemK_toxin,mrkI3,1.05581415160162e-08,45
X39P.HigB_toxin,mrkI3,0.00247557602847257,5
X58P.CcdB,mrkI3,0.00722941712706595,126
X63P.Zeta_toxin,mrkI3,4.50098643218059e-08,10
X65P.HD,mrkI3,4.29152480027249e-15,18
X70P.Gp49,mrkI3,1.94578237562747e-09,40
X77P.Gp49,mrkI3,1.06799275784647e-07,39
X168P.Fic,mrkI3,3.06182046083321e-07,8
X17P.Gp49,kfuB,4.69663391991376e-06,120
X19P.RelE,kfuB,1.03483250562052e-06,25
X47P.YdaT_toxin,kfuB,0.00999665287174118,37
X58P.CcdB,kfuB,0.00609179265378631,126
X65P.HD,kfuB,7.53735892862882e-06,18
X70P.Gp49,kfuB,6.8800171324206e-12,40
X77P.Gp49,kfuB,2.19445918665057e-11,39
