Variable_1,Variable_2,FDR,Copies
X42H.YdaT_toxin,mceD,0.00545483679911505,63
X12H.RES,mceC,8.31408135660474e-06,26
X42H.YdaT_toxin,mceC,0.00545483679911505,63
X12H.RES,mceE,8.31408135660474e-06,26
X42H.YdaT_toxin,mceE,0.00545483679911505,63
X12H.RES,mceA,8.31408135660474e-06,26
X42H.YdaT_toxin,mceA,0.00545483679911505,63
X12H.RES,mceB,8.31408135660474e-06,26
X42H.YdaT_toxin,mceB,0.00545483679911505,63
X3H.RES,iroN,1.17588677291375e-06,70
X4H.PIN,iroN,3.74719053192133e-05,139
X12H.RES,iroN,8.93979539929044e-19,26
X3H.RES,iroD,3.68274196587826e-07,70
X4H.PIN,iroD,1.7914016227403e-05,139
X12H.RES,iroD,2.32307582545629e-20,26
X3H.RES,iroB,1.17588677291375e-06,70
X4H.PIN,iroB,3.74719053192133e-05,139
X12H.RES,iroB,8.93979539929044e-19,26
X3H.RES,iroC,1.01626614928179e-11,70
X4H.PIN,iroC,0.00936939843743036,139
X12H.RES,iroC,1.16103297137707e-23,26
X12H.RES,silE,0.00127379490011113,26
X57H.NTP_transf_2,silE,0.000760088696631523,27
X61H.CcdB,silE,0.00017541360110257,57
X12H.RES,silC,0.00168654824396004,26
X57H.NTP_transf_2,silC,0.00104193558840405,27
X61H.CcdB,silC,0.000298278218789028,57
X12H.RES,silS,0.00127379490011113,26
X57H.NTP_transf_2,silS,0.00665464862778543,27
X61H.CcdB,silS,0.00289070684192114,57
X14H.Gp49,silR,0.00829764087936637,103
X57H.NTP_transf_2,silR,0.000891790068909494,27
X61H.CcdB,silR,0.000227327799745511,57
X3H.RES,terZ,5.12911865155535e-09,70
X12H.RES,terZ,4.20959903549401e-14,26
X3H.RES,terD,2.41552623373291e-09,70
X12H.RES,terD,2.78976881489006e-14,26
X3H.RES,terE,5.12911865155535e-09,70
X12H.RES,terE,4.20959903549401e-14,26
X3H.RES,terW,5.12911865155535e-09,70
X12H.RES,terW,4.20959903549401e-14,26
X3H.RES,terB,5.12911865155535e-09,70
X12H.RES,terB,4.20959903549401e-14,26
X3H.RES,terA,5.12911865155535e-09,70
X12H.RES,terA,4.20959903549401e-14,26
X3H.RES,terC,5.12911865155535e-09,70
X12H.RES,terC,4.20959903549401e-14,26
X3H.RES,terX,1.19597712708934e-08,70
X12H.RES,terX,4.55454467280562e-15,26
X3H.RES,terY,1.19597712708934e-08,70
X12H.RES,terY,4.55454467280562e-15,26
X12H.RES,gcl,0.000321131178234609,26
X21H.PIN,gcl,0.000760088696631523,237
X12H.RES,fdrA,0.000321131178234609,26
X21H.PIN,fdrA,0.000760088696631523,237
X12H.RES,ylbE,0.000321131178234609,26
X21H.PIN,ylbE,0.000760088696631523,237
X12H.RES,KP1_1364,0.000130194392814926,26
X42H.YdaT_toxin,KP1_1364,0.00961292512673725,63
X12H.RES,glxK,0.00170847102557059,26
X21H.PIN,glxK,0.000516351397651668,237
X12H.RES,arcC,0.000321131178234609,26
X21H.PIN,arcC,0.000760088696631523,237
X12H.RES,glxR,0.000211171841469152,26
X21H.PIN,glxR,0.00443860003096966,237
X12H.RES,ylbF,0.000321131178234609,26
X21H.PIN,ylbF,0.000760088696631523,237
X12H.RES,KP1_1371,0.000321131178234609,26
X21H.PIN,KP1_1371,0.000760088696631523,237
X12H.RES,hyi,7.6428246388185e-05,26
X42H.YdaT_toxin,hyi,0.00506601092558816,63
X12H.RES,ybtQ,4.25981648972711e-06,26
X12H.RES,ybtP,4.25981648972711e-06,26
X12H.RES,ybtE,2.91586287412307e-05,26
X12H.RES,ybtS,4.25981648972711e-06,26
X12H.RES,ybtX,2.18521218229314e-05,26
X12H.RES,irp2,0.000292047757114065,26
X12H.RES,ybtU,4.25981648972711e-06,26
