Variable_1,Variable_2,FDR,Copies
X13P_3H,mceG,0.00989934478856501,57
X47P_42H_28P,mceG,0.00194737355109703,36
X58P_18H,mceG,0.00881713372599756,56
X46P_12H_105P,mceG,0.000108926809532577,26
X13P_3H,mceJ,0.00989934478856501,57
X47P_42H_28P,mceJ,0.00194737355109703,36
X58P_18H,mceJ,0.00881713372599756,56
X46P_12H_105P,mceJ,0.000108926809532577,26
X47P_42H_28P,mceH,0.000847707797829128,36
X46P_12H_105P,mceH,0.00077069730447483,26
X13P_3H,mceD,0.00308194202600356,57
X47P_42H_28P,mceD,0.000388042771525527,36
X58P_18H,mceD,0.00265820544540817,56
X46P_12H_105P,mceD,1.51355340132821e-05,26
X13P_3H,mceC,0.00308194202600356,57
X47P_42H_28P,mceC,0.000388042771525527,36
X58P_18H,mceC,0.00265820544540817,56
X46P_12H_105P,mceC,1.51355340132821e-05,26
X13P_3H,mceE,0.00308194202600356,57
X47P_42H_28P,mceE,0.000388042771525527,36
X58P_18H,mceE,0.00265820544540817,56
X46P_12H_105P,mceE,1.51355340132821e-05,26
X13P_3H,mceA,0.00308194202600356,57
X47P_42H_28P,mceA,0.000388042771525527,36
X58P_18H,mceA,0.00265820544540817,56
X46P_12H_105P,mceA,1.51355340132821e-05,26
X13P_3H,mceB,0.00308194202600356,57
X47P_42H_28P,mceB,0.000388042771525527,36
X58P_18H,mceB,0.00265820544540817,56
X46P_12H_105P,mceB,1.51355340132821e-05,26
X6P_4H_51P,iroN,0.000319135000857583,10
X13P_3H_92P,iroN,1.53789002676607e-06,9
X46P_12H_105P,iroN,1.56446419487583e-18,26
X6P_4H_51P,iroD,0.000392392748813376,10
X13P_3H_92P,iroD,2.04051749892865e-06,9
X46P_12H_105P,iroD,3.52333166860871e-20,26
X6P_4H_51P,iroB,0.000319135000857583,10
X13P_3H_92P,iroB,1.53789002676607e-06,9
X46P_12H_105P,iroB,1.56446419487583e-18,26
X13P_3H_92P,iroC,9.97531271345032e-08,9
X46P_12H_105P,iroC,1.7415494570656e-23,26
X6P_4H,iroC,0.0011378544134138,123
X46P_12H_105P,silE,0.00207325708392213,26
X57H_29P,silE,0.00127927505581631,27
X48P_61H,silE,0.000284129239925442,57
X46P_12H_105P,silC,0.00265820544540817,26
X57H_29P,silC,0.00175659653686067,27
X48P_61H,silC,0.000483902003013959,57
X46P_12H_105P,silS,0.00207325708392213,26
X57H_29P,silS,0.00976480445475324,27
X48P_61H,silS,0.00429992642735769,57
X6P_4H,silS,0.00976480445475324,123
X57H_29P,silR,0.00149681492978675,27
X48P_61H,silR,0.000372848173797851,57
X41H_154P,terZ,0.00905977213604627,6
X13P_3H,terZ,0.00287315802902146,57
X13P_3H_92P,terZ,0.000108192050775006,9
X46P_12H_105P,terZ,7.16769565503034e-14,26
X95P_62H,terZ,0.00989934478856501,26
X6P_4H,terZ,0.00989934478856501,123
X41H_154P,terD,0.00846303180074726,6
X13P_3H,terD,0.00207325708392213,57
X13P_3H_92P,terD,9.3641935556368e-05,9
X46P_12H_105P,terD,4.8820954260576e-14,26
X41H_154P,terE,0.00905977213604627,6
X13P_3H,terE,0.00287315802902146,57
X13P_3H_92P,terE,0.000108192050775006,9
X46P_12H_105P,terE,7.16769565503034e-14,26
X95P_62H,terE,0.00989934478856501,26
X6P_4H,terE,0.00989934478856501,123
X41H_154P,terW,0.00905977213604627,6
X13P_3H,terW,0.00287315802902146,57
X13P_3H_92P,terW,0.000108192050775006,9
X46P_12H_105P,terW,7.16769565503034e-14,26
X95P_62H,terW,0.00989934478856501,26
X6P_4H,terW,0.00989934478856501,123
X41H_154P,terB,0.00905977213604627,6
X13P_3H,terB,0.00287315802902146,57
X13P_3H_92P,terB,0.000108192050775006,9
X46P_12H_105P,terB,7.16769565503034e-14,26
X95P_62H,terB,0.00989934478856501,26
X6P_4H,terB,0.00989934478856501,123
X41H_154P,terA,0.00905977213604627,6
X13P_3H,terA,0.00287315802902146,57
X13P_3H_92P,terA,0.000108192050775006,9
X46P_12H_105P,terA,7.16769565503034e-14,26
X95P_62H,terA,0.00989934478856501,26
X6P_4H,terA,0.00989934478856501,123
X41H_154P,terC,0.00905977213604627,6
X13P_3H,terC,0.00287315802902146,57
X13P_3H_92P,terC,0.000108192050775006,9
X46P_12H_105P,terC,7.16769565503034e-14,26
X95P_62H,terC,0.00989934478856501,26
X6P_4H,terC,0.00989934478856501,123
X13P_3H,terX,0.00846303180074726,57
X13P_3H_92P,terX,5.46152347460569e-05,9
X46P_12H_105P,terX,7.6956099643957e-15,26
X6P_4H,terX,0.00900980597141817,123
X13P_3H,terY,0.00846303180074726,57
X13P_3H_92P,terY,5.46152347460569e-05,9
X46P_12H_105P,terY,7.6956099643957e-15,26
X6P_4H,terY,0.00900980597141817,123
X98P_22H_8P,gcl,0.00997478691451521,4
X46P_12H_105P,gcl,0.000523143575924876,26
X98P_22H_8P,fdrA,0.00997478691451521,4
X46P_12H_105P,fdrA,0.000523143575924876,26
X98P_22H_8P,ylbE,0.00997478691451521,4
X46P_12H_105P,ylbE,0.000523143575924876,26
X98P_22H_8P,KP1_1364,0.00802391698758793,4
X46P_12H_105P,KP1_1364,0.000210397876426992,26
X98P_22H_8P,glxK,0.00905977213604627,4
X46P_12H_105P,glxK,0.00269370751156258,26
X98P_22H_8P,arcC,0.00997478691451521,4
X46P_12H_105P,arcC,0.000523143575924876,26
X98P_22H_8P,glxR,0.00905977213604627,4
X46P_12H_105P,glxR,0.000346140269557467,26
X98P_22H_8P,ylbF,0.00997478691451521,4
X46P_12H_105P,ylbF,0.000523143575924876,26
X98P_22H_8P,KP1_1371,0.00997478691451521,4
X46P_12H_105P,KP1_1371,0.000523143575924876,26
X46P_12H_105P,hyi,0.000121106450122572,26
X6P_4H_51P,ybtQ,0.00230196585029012,10
X46P_12H_105P,ybtQ,7.88683415308172e-06,26
X6P_4H_51P,ybtP,0.00230196585029012,10
X46P_12H_105P,ybtP,7.88683415308172e-06,26
X6P_4H_51P,ybtE,0.00204790684845107,10
X46P_12H_105P,ybtE,4.84329765532306e-05,26
X6P_4H_51P,ybtS,0.00230196585029012,10
X46P_12H_105P,ybtS,7.88683415308172e-06,26
X46P_12H_105P,ybtX,3.64521505847437e-05,26
X46P_12H_105P,irp2,0.000473471363806136,26
X6P_4H_51P,ybtU,0.00230196585029012,10
X46P_12H_105P,ybtU,7.88683415308172e-06,26
X6P_4H_51P,ybtA,0.00204790684845107,10
